cuenta_id,iban,tipo_cuenta,moneda_base,fecha_apertura,estado,saldo_actual,limite_diario,es_conjunta,canales_habilitados,pais_apertura,score_riesgo,ultima_actividad
CU000032,GT82BAGT000000000032,CORRIENTE,GTQ,2021-12-17,ACTIVA,13408.52,59345.21,false,API|POS|ATM,GT,82.13,2026-03-20T09:34:54Z
CU000033,GT82BAGT000000000033,NOMINA,GTQ,2026-01-06,ACTIVA,15860.63,44800.33,false,API|MOBILE|POS,GT,14.81,2026-04-02T16:44:04Z
CU000034,GT82BAGT000000000034,NOMINA,GTQ,2025-06-13,ACTIVA,25639.56,6485.39,true,API|POS,GT,33.36,2026-04-07T22:57:00Z
CU000035,GT82BAGT000000000035,AHORRO,USD,2025-10-12,ACTIVA,26157.31,34211.45,false,API|WEB|MOBILE,GT,42.07,2026-04-21T03:40:52Z
CU000036,GT82BAGT000000000036,CORRIENTE,GTQ,2021-12-03,ACTIVA,-6293.05,22957.66,false,WEB|ATM|MOBILE|API,GT,35.17,2026-04-05T10:18:25Z
CU000037,GT82BAGT000000000037,CORRIENTE,USD,2026-02-15,ACTIVA,18403.24,44546.10,false,WEB|ATM|API,GT,42.18,2026-04-20T20:05:11Z
CU000038,GT82BAGT000000000038,AHORRO,USD,2022-04-10,ACTIVA,8105.26,26012.67,false,WEB|ATM,GT,56.00,2026-03-30T16:22:48Z
CU000039,GT82BAGT000000000039,EMPRESARIAL,USD,2025-02-18,ACTIVA,102998.45,35442.32,false,API|WEB,GT,35.44,2026-03-23T19:20:24Z
CU000040,GT82BAGT000000000040,AHORRO,GTQ,2023-11-02,ACTIVA,2750.60,35747.44,false,POS|WEB,GT,46.48,2026-04-19T23:54:08Z
CU000041,GT82BAGT000000000041,AHORRO,GTQ,2024-01-18,ACTIVA,8811.16,40208.52,false,ATM|WEB|POS|MOBILE,GT,46.42,2026-04-01T12:23:52Z
CU000042,GT82BAGT000000000042,EMPRESARIAL,GTQ,2024-02-09,ACTIVA,209592.13,141899.70,false,API|POS|MOBILE,GT,46.41,2026-04-14T18:02:25Z
CU000043,GT82BAGT000000000043,CORRIENTE,GTQ,2024-05-11,ACTIVA,4884.54,51063.85,false,WEB|API|ATM,GT,22.99,2026-04-20T19:44:31Z
CU000044,GT82BAGT000000000044,AHORRO,USD,2026-03-01,ACTIVA,25982.11,17545.63,false,WEB|ATM|POS|API,GT,35.83,2026-03-05T17:11:44Z
CU000045,GT82BAGT000000000045,AHORRO,USD,2025-09-19,ACTIVA,15098.54,37671.13,false,MOBILE|API|POS|ATM,GT,31.98,2026-03-30T18:02:23Z
CU000046,GT82BAGT000000000046,CORRIENTE,GTQ,2020-05-26,ACTIVA,17985.71,27549.57,false,ATM|API,GT,38.52,2026-04-18T10:33:25Z
CU000047,GT82BAGT000000000047,AHORRO,USD,2022-06-26,CERRADA,39463.08,35822.91,false,API|MOBILE,GT,18.07,2026-04-15T07:57:22Z
CU000048,GT82BAGT000000000048,AHORRO,USD,2024-04-24,ACTIVA,12702.67,12106.28,false,POS|ATM,GT,53.24,2026-04-18T14:07:25Z
CU000049,GT82BAGT000000000049,EMPRESARIAL,USD,2025-09-10,ACTIVA,346715.08,69866.26,true,POS|WEB|ATM,GT,34.73,2026-04-02T00:13:21Z
CU000050,GT82BAGT000000000050,AHORRO,GTQ,2026-01-15,ACTIVA,18226.64,17744.30,false,ATM|API|MOBILE,GT,26.36,2026-04-02T21:47:44Z
CU000051,GT82BAGT000000000051,NOMINA,USD,2025-07-22,ACTIVA,29723.85,38244.25,false,WEB|ATM,GT,33.14,2026-04-20T00:11:04Z
CU000052,GT82BAGT000000000052,NOMINA,USD,2023-06-05,ACTIVA,17098.35,18136.83,false,MOBILE|WEB|POS,GT,37.96,2026-04-19T19:50:50Z
CU000053,GT82BAGT000000000053,NOMINA,GTQ,2025-05-11,ACTIVA,35298.08,48190.98,false,WEB|MOBILE,GT,49.86,2026-04-13T23:20:59Z
CU000054,GT82BAGT000000000054,AHORRO,GTQ,2020-02-14,ACTIVA,29387.24,12917.94,false,API|WEB|MOBILE,GT,26.16,2026-04-03T03:25:34Z
CU000055,GT82BAGT000000000055,AHORRO,GTQ,2025-05-16,CERRADA,39377.69,15392.77,false,API|MOBILE,GT,18.58,2026-03-31T22:23:54Z
CU000056,GT82BAGT000000000056,AHORRO,USD,2026-04-18,ACTIVA,36421.52,22214.67,true,POS|ATM|API,GT,45.02,2026-04-07T12:15:49Z
CU000057,GT82BAGT000000000057,AHORRO,GTQ,2024-02-22,ACTIVA,44851.80,37105.97,false,ATM|API|POS,GT,31.43,2026-04-17T01:59:13Z
CU000058,GT82BAGT000000000058,AHORRO,USD,2025-12-05,ACTIVA,166943.55,49473.01,false,MOBILE|API|ATM|POS,GT,60.02,2026-04-13T23:42:05Z
CU000059,GT82BAGT000000000059,AHORRO,GTQ,2026-02-24,ACTIVA,-1909.97,29098.06,false,WEB|MOBILE|ATM,GT,28.49,2026-04-06T19:04:35Z
CU000060,GT82BAGT000000000060,CORRIENTE,GTQ,2022-03-12,ACTIVA,60733.42,50822.41,false,WEB|POS|MOBILE,GT,13.78,2026-04-01T23:50:31Z
CU000061,GT82BAGT000000000061,EMPRESARIAL,GTQ,2025-08-03,ACTIVA,96160.23,77482.69,false,WEB|ATM|API,GT,42.35,2026-04-17T16:14:30Z
CU000062,GT82BAGT000000000062,CORRIENTE,GTQ,2020-09-10,ACTIVA,49213.59,51803.73,false,POS|API|ATM,GT,38.80,2026-03-24T03:48:27Z
CU000063,GT82BAGT000000000063,AHORRO,GTQ,2024-01-24,ACTIVA,-88210.10,8668.33,false,MOBILE|WEB|ATM,GT,34.39,2026-04-03T14:18:02Z
CU000064,GT82BAGT000000000064,AHORRO,GTQ,2024-02-12,ACTIVA,19725.00,32701.46,false,ATM|API,GT,32.47,2026-04-12T13:49:10Z
CU000065,GT82BAGT000000000065,AHORRO,USD,2024-08-24,ACTIVA,8740.85,5814.57,false,MOBILE|ATM|POS,GT,59.26,2026-04-18T03:17:24Z
CU000066,GT82BAGT000000000066,NOMINA,GTQ,2025-11-05,ACTIVA,29617.63,13833.55,false,MOBILE|POS|API,GT,20.29,2026-02-28T01:15:20Z
CU000067,GT82BAGT000000000067,AHORRO,GTQ,2024-08-19,BLOQUEADA,38726.94,22923.14,false,API|WEB|MOBILE,GT,55.00,2026-04-15T15:27:03Z
CU000068,GT82BAGT000000000068,NOMINA,GTQ,2025-09-08,ACTIVA,30461.53,25604.08,false,WEB|API|POS|ATM,GT,24.37,2026-03-27T04:22:14Z
CU000069,GT82BAGT000000000069,AHORRO,GTQ,2025-08-29,BLOQUEADA,8228.67,3730.17,false,WEB|ATM,GT,50.40,2026-04-20T10:29:11Z
CU000070,GT82BAGT000000000070,NOMINA,USD,2023-08-28,ACTIVA,6860.24,39095.07,false,MOBILE|ATM|API,GT,28.51,2026-04-06T09:04:09Z
CU000071,GT82BAGT000000000071,CORRIENTE,USD,2025-07-19,ACTIVA,28895.14,23102.87,false,MOBILE|WEB,GT,31.57,2026-04-08T14:26:25Z
CU000072,GT82BAGT000000000072,NOMINA,USD,2026-01-13,ACTIVA,14881.50,20411.42,false,MOBILE|POS,GT,38.06,2026-03-27T10:11:20Z
CU000073,GT82BAGT000000000073,AHORRO,GTQ,2025-07-29,ACTIVA,15753.97,46354.52,false,POS|ATM|MOBILE|API,GT,31.79,2026-04-08T06:31:33Z
CU000074,GT82BAGT000000000074,AHORRO,GTQ,2024-06-08,ACTIVA,32689.79,19938.06,true,WEB|ATM|POS,GT,39.31,2026-03-22T21:25:42Z
CU000075,GT82BAGT000000000075,CORRIENTE,GTQ,2026-04-16,ACTIVA,31314.28,51806.29,false,API|WEB,GT,52.04,2026-04-19T14:29:47Z
CU000076,GT82BAGT000000000076,AHORRO,GTQ,2024-04-28,ACTIVA,-1592.29,9444.00,false,POS|ATM,GT,55.01,2026-04-09T04:09:52Z
CU000077,GT82BAGT000000000077,CORRIENTE,GTQ,2022-02-19,ACTIVA,33373.94,24726.35,false,POS|API,GT,65.32,2026-04-20T03:56:23Z
CU000078,GT82BAGT000000000078,AHORRO,USD,2025-08-11,ACTIVA,21755.83,39607.43,false,POS|ATM|API|WEB,GT,27.01,2026-04-04T01:19:48Z
CU000079,GT82BAGT000000000079,AHORRO,USD,2024-06-21,ACTIVA,21216.07,27105.70,false,MOBILE|API,GT,39.79,2026-03-11T02:35:21Z
CU000080,GT82BAGT000000000080,AHORRO,GTQ,2026-04-21,BLOQUEADA,32380.51,37521.60,true,ATM|MOBILE|POS,GT,34.66,2026-04-16T12:19:54Z
CU000081,GT82BAGT000000000081,NOMINA,GTQ,2025-12-04,ACTIVA,27021.28,36142.73,true,ATM|WEB,GT,33.72,2026-04-15T18:38:32Z
CU000082,GT82BAGT000000000082,AHORRO,USD,2024-06-16,ACTIVA,21734.63,15437.35,false,WEB|MOBILE|API,GT,48.39,2026-04-12T07:32:47Z
CU000083,GT82BAGT000000000083,AHORRO,USD,2025-04-30,ACTIVA,9505.07,42669.24,false,ATM|POS,GT,42.62,2026-04-15T08:04:48Z
CU000084,GT82BAGT000000000084,EMPRESARIAL,GTQ,2026-03-07,ACTIVA,172129.79,119631.50,false,API|ATM|POS,GT,29.10,2026-04-04T15:23:52Z
CU000085,GT82BAGT000000000085,AHORRO,GTQ,2026-04-06,ACTIVA,11534.07,2817.51,true,ATM|API,GT,48.00,2026-04-20T05:01:56Z
CU000086,GT82BAGT000000000086,AHORRO,GTQ,2025-12-09,ACTIVA,17981.11,17600.49,false,ATM|MOBILE|WEB,GT,27.05,2026-03-26T02:57:27Z
CU000087,GT82BAGT000000000087,AHORRO,USD,2023-10-01,ACTIVA,151580.66,4831.28,false,WEB|POS|MOBILE,GT,50.72,2026-04-17T10:23:33Z
CU000088,GT82BAGT000000000088,AHORRO,GTQ,2023-04-12,BLOQUEADA,20053.54,46822.78,true,ATM|API,GT,32.31,2026-04-11T11:41:14Z
CU000089,GT82BAGT000000000089,NOMINA,GTQ,2026-02-24,ACTIVA,53877.78,14876.91,false,MOBILE|API|POS,GT,48.76,2026-04-15T08:30:09Z
CU000090,GT82BAGT000000000090,AHORRO,GTQ,2025-04-27,ACTIVA,10622.21,30062.35,false,ATM|API|POS,GT,42.64,2026-04-15T12:00:19Z
CU000091,GT82BAGT000000000091,AHORRO,USD,2023-03-05,ACTIVA,9887.62,39580.36,true,MOBILE|ATM|POS,GT,50.51,2026-03-30T07:25:37Z
CU000092,GT82BAGT000000000092,CORRIENTE,USD,2026-03-07,BLOQUEADA,9203.60,17335.06,false,POS|MOBILE|API,GT,21.69,2026-03-29T13:37:20Z
CU000093,GT82BAGT000000000093,AHORRO,GTQ,2025-09-11,ACTIVA,1708.69,17164.14,false,WEB|ATM|API,GT,47.75,2026-04-17T00:33:56Z
CU000094,GT82BAGT000000000094,AHORRO,USD,2024-04-09,ACTIVA,57312.85,20160.09,true,MOBILE|WEB,GT,17.57,2026-04-08T18:11:03Z
CU000095,GT82BAGT000000000095,CORRIENTE,GTQ,2025-02-24,ACTIVA,677.18,16425.22,false,ATM|POS|API|WEB,GT,27.51,2026-04-06T13:13:32Z
CU000096,GT82BAGT000000000096,CORRIENTE,USD,2025-06-09,ACTIVA,51766.21,47069.06,false,MOBILE|API,GT,32.60,2026-04-18T08:22:36Z
CU000097,GT82BAGT000000000097,AHORRO,GTQ,2025-06-27,ACTIVA,54018.19,19947.06,false,API|WEB,GT,51.82,2026-04-08T02:53:30Z
CU000098,GT82BAGT000000000098,CORRIENTE,GTQ,2023-10-24,ACTIVA,5123.69,27603.34,false,API|POS|ATM|WEB,GT,21.32,2026-04-20T10:01:50Z
CU000099,GT82BAGT000000000099,AHORRO,GTQ,2025-02-25,ACTIVA,39943.73,9817.06,true,POS|ATM,GT,26.14,2026-04-09T12:45:27Z
CU000100,GT82BAGT000000000100,AHORRO,USD,2022-01-01,ACTIVA,13552.21,17820.04,false,MOBILE|POS,GT,34.08,2026-04-11T15:50:59Z
CU000101,GT82BAGT000000000101,AHORRO,GTQ,2026-02-11,ACTIVA,18878.52,19686.91,false,MOBILE|API,GT,30.56,2026-04-10T19:25:08Z
CU000102,GT82BAGT000000000102,EMPRESARIAL,GTQ,2022-02-24,ACTIVA,271691.94,57876.38,false,WEB|ATM|API|MOBILE,GT,43.73,2026-04-17T11:56:26Z
CU000103,GT82BAGT000000000103,CORRIENTE,GTQ,2024-10-17,ACTIVA,23825.60,24780.35,false,ATM|POS|WEB|MOBILE,GT,44.70,2026-04-16T23:02:14Z
CU000104,GT82BAGT000000000104,AHORRO,GTQ,2021-11-01,ACTIVA,6222.48,27340.29,false,ATM|WEB,GT,9.85,2026-04-17T21:07:21Z
CU000105,GT82BAGT000000000105,AHORRO,GTQ,2023-04-23,ACTIVA,26818.41,35623.38,false,WEB|ATM|MOBILE|API,GT,59.17,2026-04-19T11:22:03Z
CU000106,GT82BAGT000000000106,NOMINA,GTQ,2022-10-04,ACTIVA,265.91,23719.55,false,ATM|POS|MOBILE,GT,39.95,2026-02-23T21:14:21Z
CU000107,GT82BAGT000000000107,AHORRO,GTQ,2023-05-05,ACTIVA,19571.33,8975.55,true,WEB|ATM,GT,44.81,2026-04-21T02:00:03Z
CU000108,GT82BAGT000000000108,EMPRESARIAL,GTQ,2025-09-07,ACTIVA,95762.68,64812.73,false,MOBILE|ATM|POS|API,GT,52.97,2026-04-14T20:09:36Z
CU000109,GT82BAGT000000000109,AHORRO,GTQ,2022-10-09,ACTIVA,43246.99,7059.99,false,API|POS|ATM,GT,38.00,2026-04-06T13:06:59Z
CU000110,GT82BAGT000000000110,AHORRO,GTQ,2026-04-05,ACTIVA,47419.37,6720.98,false,API|MOBILE|WEB,GT,34.46,2026-04-14T23:26:07Z
CU000111,GT82BAGT000000000111,AHORRO,USD,2023-08-07,ACTIVA,17024.82,42398.91,false,MOBILE|POS|WEB|ATM,GT,30.88,2026-03-15T18:33:10Z
CU000112,GT82BAGT000000000112,AHORRO,USD,2026-01-21,ACTIVA,-346.69,20452.53,false,WEB|MOBILE|POS,GT,42.22,2026-01-31T14:11:55Z
CU000113,GT82BAGT000000000113,AHORRO,USD,2021-08-24,ACTIVA,16177.60,16701.67,false,MOBILE|WEB|POS|ATM,GT,41.42,2026-03-30T19:59:26Z
CU000114,GT82BAGT000000000114,NOMINA,USD,2025-07-14,ACTIVA,15640.10,25233.21,true,POS|WEB,GT,60.96,2026-03-25T02:18:03Z
CU000115,GT82BAGT000000000115,AHORRO,GTQ,2025-12-09,ACTIVA,31451.94,46825.52,false,WEB|POS,GT,53.72,2026-02-14T19:08:11Z
CU000116,GT82BAGT000000000116,EMPRESARIAL,GTQ,2023-11-22,ACTIVA,102673.44,92242.95,false,WEB|POS,GT,51.16,2026-03-31T19:35:36Z
CU000117,GT82BAGT000000000117,AHORRO,GTQ,2026-03-15,ACTIVA,112383.20,43592.95,false,ATM|MOBILE|API|WEB,GT,37.81,2026-04-19T21:14:07Z
CU000118,GT82BAGT000000000118,AHORRO,GTQ,2024-01-12,ACTIVA,16579.74,9089.14,false,API|ATM,GT,15.32,2026-03-19T00:28:46Z
CU000119,GT82BAGT000000000119,AHORRO,GTQ,2026-01-10,ACTIVA,38015.08,35449.10,false,MOBILE|POS|WEB,GT,37.23,2026-02-23T01:36:25Z
CU000120,GT82BAGT000000000120,NOMINA,GTQ,2025-08-22,ACTIVA,18021.53,33975.54,false,WEB|API|MOBILE|POS,GT,59.09,2026-04-20T21:34:54Z
CU000121,GT82BAGT000000000121,CORRIENTE,GTQ,2026-03-23,ACTIVA,21825.69,52659.22,false,POS|API|ATM,GT,34.12,2026-04-11T16:20:19Z
CU000122,GT82BAGT000000000122,AHORRO,USD,2025-11-11,ACTIVA,31657.75,32024.63,true,MOBILE|API|WEB,GT,16.86,2026-02-10T03:16:21Z
CU000123,GT82BAGT000000000123,AHORRO,GTQ,2021-10-31,ACTIVA,33016.85,17697.96,false,API|ATM|POS|MOBILE,GT,17.40,2026-04-09T19:11:43Z
CU000124,GT82BAGT000000000124,CORRIENTE,GTQ,2024-08-13,BLOQUEADA,50335.15,55289.30,false,MOBILE|ATM|API,GT,34.68,2026-04-21T01:13:20Z
CU000125,GT82BAGT000000000125,NOMINA,GTQ,2024-11-03,ACTIVA,59156.86,43334.39,false,API|WEB,GT,32.53,2026-04-21T02:16:36Z
CU000126,GT82BAGT000000000126,AHORRO,GTQ,2025-06-10,BLOQUEADA,17262.95,47318.23,false,ATM|MOBILE|WEB|POS,GT,42.04,2026-04-08T15:40:54Z
CU000127,GT82BAGT000000000127,CORRIENTE,GTQ,2024-03-08,ACTIVA,61880.58,19538.58,false,MOBILE|WEB|POS|API,GT,74.21,2026-04-16T02:43:58Z
CU000128,GT82BAGT000000000128,AHORRO,GTQ,2024-01-29,ACTIVA,38068.86,25875.02,false,POS|WEB|API,GT,31.29,2026-04-04T19:23:27Z
CU000129,GT82BAGT000000000129,CORRIENTE,GTQ,2022-05-05,ACTIVA,-3937.33,20651.91,false,POS|API|WEB|MOBILE,GT,19.05,2026-04-20T12:59:37Z
CU000130,GT82BAGT000000000130,AHORRO,GTQ,2023-02-18,ACTIVA,-13081.09,35498.74,false,WEB|MOBILE,GT,28.99,2026-04-15T05:44:12Z
CU000131,GT82BAGT000000000131,CORRIENTE,GTQ,2026-03-19,ACTIVA,70631.78,41538.30,false,ATM|API,GT,47.96,2026-04-17T21:00:46Z
CU000132,GT82BAGT000000000132,AHORRO,GTQ,2019-08-23,ACTIVA,-19482.44,22150.44,false,POS|WEB|ATM,GT,38.39,2026-04-14T09:29:19Z
CU000133,GT82BAGT000000000133,AHORRO,USD,2025-10-02,ACTIVA,42624.62,31133.26,false,WEB|MOBILE|ATM,GT,24.26,2026-04-19T10:25:46Z
CU000134,GT82BAGT000000000134,CORRIENTE,USD,2024-02-04,ACTIVA,10181.80,41858.84,false,MOBILE|API|WEB,GT,45.24,2026-04-20T09:32:25Z
CU000135,GT82BAGT000000000135,CORRIENTE,USD,2025-07-10,ACTIVA,54525.01,57285.25,false,API|WEB,GT,48.41,2026-04-18T14:46:37Z
CU000136,GT82BAGT000000000136,AHORRO,GTQ,2024-11-14,ACTIVA,24112.88,33973.48,false,MOBILE|ATM,GT,30.10,2026-04-17T21:15:28Z
CU000137,GT82BAGT000000000137,CORRIENTE,GTQ,2025-05-18,ACTIVA,43852.67,36712.22,false,POS|WEB|ATM|API,GT,34.29,2026-04-01T14:54:16Z
CU000138,GT82BAGT000000000138,AHORRO,GTQ,2022-02-02,ACTIVA,43865.96,7549.25,false,WEB|API|ATM,GT,27.02,2026-04-11T12:34:50Z
CU000139,GT82BAGT000000000139,AHORRO,GTQ,2023-08-23,ACTIVA,10877.62,24258.74,false,MOBILE|ATM|API|POS,GT,28.81,2026-03-24T07:46:41Z
CU000140,GT82BAGT000000000140,AHORRO,USD,2022-07-30,ACTIVA,-4299.14,12989.90,false,ATM|WEB|POS,GT,32.19,2026-04-20T16:39:10Z
CU000141,GT82BAGT000000000141,AHORRO,GTQ,2023-06-17,ACTIVA,15131.12,36539.95,false,API|WEB|ATM|POS,GT,33.32,2026-04-11T15:50:59Z
CU000142,GT82BAGT000000000142,CORRIENTE,USD,2024-09-30,ACTIVA,40228.48,21592.27,false,WEB|ATM|POS,GT,38.79,2026-04-12T15:14:23Z
CU000143,GT82BAGT000000000143,AHORRO,USD,2024-09-25,ACTIVA,34211.55,18131.46,false,WEB|API|POS|ATM,GT,49.36,2026-04-20T09:32:25Z
CU000144,GT82BAGT000000000144,EMPRESARIAL,USD,2021-01-05,ACTIVA,212455.98,59674.54,false,WEB|API|ATM,GT,42.67,2026-03-24T18:07:17Z
CU000145,GT82BAGT000000000145,AHORRO,GTQ,2019-04-02,ACTIVA,36510.23,42000.58,false,API|ATM|MOBILE|POS,GT,36.34,2026-04-21T02:12:00Z
CU000146,GT82BAGT000000000146,CORRIENTE,USD,2026-04-21,ACTIVA,12200.92,16414.17,false,API|ATM,GT,48.58,2026-04-09T19:19:04Z
CU000147,GT82BAGT000000000147,NOMINA,GTQ,2026-04-21,ACTIVA,27716.46,20984.46,false,ATM|WEB|API|MOBILE,GT,26.74,2026-04-21T02:28:07Z
CU000148,GT82BAGT000000000148,NOMINA,GTQ,2026-01-24,ACTIVA,28101.63,29865.57,false,WEB|API,GT,27.53,2026-04-03T08:14:24Z
CU000149,GT82BAGT000000000149,CORRIENTE,GTQ,2021-03-22,ACTIVA,38019.90,29137.99,true,MOBILE|WEB|API|POS,GT,43.70,2026-04-15T02:46:04Z
CU000150,GT82BAGT000000000150,CORRIENTE,GTQ,2020-04-08,ACTIVA,40122.77,47194.08,false,WEB|ATM|MOBILE,GT,64.43,2026-04-19T10:49:44Z
CU000151,GT82BAGT000000000151,AHORRO,USD,2022-06-22,ACTIVA,31676.57,27705.18,false,POS|MOBILE|API|ATM,GT,37.21,2026-04-20T09:44:44Z
CU000152,GT82BAGT000000000152,AHORRO,GTQ,2021-08-21,ACTIVA,8233.70,4671.20,false,MOBILE|API,GT,44.69,2026-04-12T16:34:52Z
CU000153,GT82BAGT000000000153,AHORRO,GTQ,2025-02-23,ACTIVA,115281.83,5462.80,false,MOBILE|ATM|API,GT,19.52,2026-04-08T17:38:25Z
CU000154,GT82BAGT000000000154,AHORRO,GTQ,2026-02-12,ACTIVA,32242.90,29513.34,false,POS|MOBILE|WEB|ATM,GT,9.62,2026-04-07T17:45:22Z
CU000155,GT82BAGT000000000155,EMPRESARIAL,USD,2023-12-12,ACTIVA,139553.62,88374.93,false,ATM|POS|WEB,GT,45.00,2026-03-22T21:14:46Z
CU000156,GT82BAGT000000000156,CORRIENTE,USD,2019-01-11,BLOQUEADA,56342.33,16941.39,false,API|MOBILE|WEB,GT,26.45,2026-04-14T10:03:59Z
CU000157,GT82BAGT000000000157,AHORRO,GTQ,2024-07-18,BLOQUEADA,31044.40,21362.05,false,POS|ATM|API|MOBILE,GT,46.52,2026-04-18T22:21:08Z
CU000158,GT82BAGT000000000158,AHORRO,GTQ,2026-03-26,ACTIVA,32975.26,9651.25,false,API|POS|WEB,GT,34.42,2026-04-15T18:58:30Z
