cliente_id,nombre_completo,documento_id,fecha_nacimiento,fecha_alta,segmento,ingresos_mensuales,pep,pais_residencia,riesgo_base,telefonos,emails,productos_activos,ultima_actualizacion
C000014,Daniela Maria Flores Vasquez,DPI-7255459222775,2003-05-02,2020-05-28,PERSONAL,2762.90,false,GT,44.52,+50279223323|+50228872980,daniela.maria.flores.vasquez.14@correo.com,INVERSION|AHORRO,2026-01-27T02:14:17Z
C000015,Patricia Silvia Martinez Ramirez,DPI-5716423450536,1999-03-18,2019-03-27,PERSONAL,2280.56,false,GT,40.73,+50229037183,patricia.silvia.martinez.ramirez.15@correo.com,TARJETA_CREDITO|INVERSION|TARJETA_DEBITO|SEGURO,2026-04-03T16:10:52Z
C000016,Pablo Karla Garcia Ruiz,DPI-1158952890300,1960-11-29,2021-11-05,PYME,7241.69,false,US,30.77,+50259230840|+50224886873,pablo.karla.garcia.ruiz.16@correo.com,PRESTAMO|TARJETA_DEBITO|INVERSION,2026-03-18T04:02:00Z
C000017,Fernanda Luis Pineda Lopez,DPI-1278137804115,1976-11-21,2018-05-22,PERSONAL,1021.34,false,GT,37.36,+50232251180,fernanda.luis.pineda.lopez.17@correo.com,CORRIENTE|PRESTAMO|INVERSION|TARJETA_CREDITO,2026-04-14T22:34:46Z
C000018,Ana Paola Morales Hernandez,DPI-3111948986923,1961-04-27,2019-12-20,PERSONAL,3187.71,false,US,27.66,+50254246056,ana.paola.morales.hernandez.18@correo.com,TARJETA_CREDITO|AHORRO,2026-04-14T04:26:27Z
C000019,Jorge Natalia Pineda Santos,DPI-4908815607253,1976-07-21,2022-10-12,PERSONAL,1031.48,false,GT,31.46,+50233546329|+50246668694,jorge.natalia.pineda.santos.19@correo.com,TARJETA_DEBITO|PRESTAMO,2026-02-09T02:53:24Z
C000020,Fernanda Miguel Mendez Flores,DPI-5391766300920,1974-04-12,2021-12-15,PERSONAL,1529.57,false,GT,42.77,+50259817148|+50229904635,fernanda.miguel.mendez.flores.20@correo.com,TARJETA_DEBITO|PRESTAMO|AHORRO,2026-04-09T21:49:53Z
C000021,Karla Ana Cruz Martinez,DPI-8018265285791,2000-04-23,2023-11-17,PREMIUM,3550.42,false,US,42.96,+50227869521,karla.ana.cruz.martinez.21@correo.com,SEGURO|AHORRO,2026-02-03T09:51:12Z
C000022,Natalia Gabriela Reyes Morales,DPI-4511975551146,2003-10-13,2021-01-07,PERSONAL,2763.47,false,GT,38.75,+50224918538|+50257227629,natalia.gabriela.reyes.morales.22@correo.com,CORRIENTE|SEGURO,2026-02-20T08:56:32Z
C000023,Esteban Monica Flores Garcia,DPI-2113620280627,1982-02-06,2019-03-22,PREMIUM,8207.95,true,GT,51.73,+50243892224|+50253840377,esteban.monica.flores.garcia.23@correo.com,INVERSION|TARJETA_DEBITO|PRESTAMO,2026-03-24T14:22:14Z
C000024,Paola Rafael Vasquez Mendez,DPI-9320213401886,1969-05-12,2025-11-21,CORPORATIVO,29364.93,false,GT,53.41,+50257590319|+50273535486,paola.rafael.vasquez.mendez.24@correo.com,PRESTAMO|CORRIENTE|SEGURO|AHORRO,2026-01-02T15:55:31Z
C000025,Lucia Andres Reyes Diaz,DPI-6546230887652,1971-12-14,2024-02-05,PERSONAL,3339.63,true,GT,61.74,+50250609424|+50248572394,lucia.andres.reyes.diaz.25@correo.com,TARJETA_CREDITO|CORRIENTE,2026-02-06T13:41:30Z
C000026,Rafael Rafael Cifuentes Diaz,DPI-1008859500811,1983-07-20,2026-01-26,PERSONAL,2623.26,false,GT,28.57,+50226595211,rafael.rafael.cifuentes.diaz.26@correo.com,SEGURO,2026-04-14T03:06:09Z
C000027,Luis Mario Cifuentes Martinez,DPI-3667416404338,1994-01-28,2018-09-22,PERSONAL,1378.22,false,GT,41.86,+50254869210,luis.mario.cifuentes.martinez.27@correo.com,PRESTAMO|TARJETA_CREDITO|SEGURO|CORRIENTE,2026-02-07T13:45:48Z
C000028,Ricardo Jose Hernandez Ruiz,DPI-5958897489634,1986-07-24,2020-10-15,PERSONAL,642.28,false,US,33.54,+50253580422,ricardo.jose.hernandez.ruiz.28@correo.com,SEGURO,2026-03-12T03:47:50Z
C000029,Daniela Fernanda Ramirez Diaz,DPI-1067904182406,1975-08-26,2018-11-25,PERSONAL,2764.94,false,GT,35.76,+50263960939,daniela.fernanda.ramirez.diaz.29@correo.com,TARJETA_CREDITO|TARJETA_DEBITO,2026-04-18T04:11:56Z
C000030,Ana Daniela Mendez Diaz,DPI-2902939106406,1963-04-07,2024-08-19,PERSONAL,525.93,false,GT,44.30,+50273237901|+50247917851,ana.daniela.mendez.diaz.30@correo.com,SEGURO,2026-02-16T14:56:14Z
C000031,Daniela Fernanda Gonzalez Reyes,DPI-8839870680231,1980-06-24,2025-02-08,PREMIUM,10226.58,false,PA,54.09,+50247848387,daniela.fernanda.gonzalez.reyes.31@correo.com,SEGURO|PRESTAMO|TARJETA_DEBITO|INVERSION,2026-01-01T09:48:15Z
C000032,Ricardo Natalia Flores Vasquez,DPI-1826480486862,1958-05-01,2020-12-26,PREMIUM,11606.94,false,SV,41.71,+50272376927,ricardo.natalia.flores.vasquez.32@correo.com,TARJETA_CREDITO,2026-04-04T12:01:35Z
C000033,Daniela Juan Perez Castillo,DPI-4653521526679,1987-04-07,2022-08-21,PERSONAL,2325.80,false,GT,26.77,+50245441709,daniela.juan.perez.castillo.33@correo.com,TARJETA_CREDITO|CORRIENTE|AHORRO|PRESTAMO,2026-04-11T17:49:08Z
C000034,Pablo Jorge Cifuentes Martinez,DPI-1560774419991,1976-07-09,2021-01-16,PERSONAL,3434.32,false,GT,18.74,+50265520344,pablo.jorge.cifuentes.martinez.34@correo.com,TARJETA_CREDITO|TARJETA_DEBITO,2026-03-28T21:54:55Z
C000035,Monica Luis Cruz Pineda,DPI-7022269140775,1992-11-30,2025-04-30,PERSONAL,1481.62,false,GT,27.00,+50277416757|+50271910608,monica.luis.cruz.pineda.35@correo.com,TARJETA_DEBITO,2026-04-13T19:22:15Z
C000036,Sofia Ana Gonzalez Lopez,DPI-6341547656319,1967-02-16,2018-09-24,PERSONAL,2185.63,false,GT,28.64,+50247686102,sofia.ana.gonzalez.lopez.36@correo.com,CORRIENTE|AHORRO|TARJETA_CREDITO,2026-01-10T00:20:09Z
C000037,Monica Valeria Ruiz Hernandez,DPI-5889296121601,1976-07-02,2024-03-01,PREMIUM,10383.31,false,HN,36.04,+50251138095,monica.valeria.ruiz.hernandez.37@correo.com,SEGURO|PRESTAMO|TARJETA_CREDITO,2026-01-26T14:31:57Z
C000038,Oscar Karla Ramirez Reyes,DPI-5167155043800,1981-10-29,2021-08-23,PERSONAL,468.49,false,GT,19.16,+50266141746|+50276160013,oscar.karla.ramirez.reyes.38@correo.com,TARJETA_DEBITO|CORRIENTE|TARJETA_CREDITO,2026-01-18T11:24:06Z
C000039,Lucia Valeria Diaz Morales,DPI-9458512774260,1963-01-13,2022-11-22,PERSONAL,1231.43,false,GT,23.16,+50270009714,lucia.valeria.diaz.morales.39@correo.com,SEGURO|PRESTAMO,2026-04-10T05:27:04Z
C000040,Paola Jose Reyes Diaz,DPI-6303920564916,1985-04-27,2019-07-04,PERSONAL,2911.10,false,PA,36.40,+50259382119,paola.jose.reyes.diaz.40@correo.com,TARJETA_DEBITO|INVERSION|CORRIENTE,2026-03-14T06:53:57Z
C000041,Natalia Oscar Cifuentes Martinez,DPI-8413898666701,1988-02-08,2025-02-02,PERSONAL,3048.03,false,CR,26.56,+50240049477,natalia.oscar.cifuentes.martinez.41@correo.com,SEGURO,2026-02-27T18:08:58Z
C000042,Paola Miguel Hernandez Cifuentes,DPI-3238970625233,1994-03-10,2024-10-13,PERSONAL,1570.82,false,GT,26.83,+50244828746,paola.miguel.hernandez.cifuentes.42@correo.com,CORRIENTE|SEGURO|INVERSION|TARJETA_DEBITO,2026-04-06T13:23:22Z
C000043,Jose Patricia Cifuentes Cifuentes,DPI-1798261671062,1989-05-29,2023-05-19,PYME,12497.27,false,GT,39.02,+50274436602|+50233574315,jose.patricia.cifuentes.cifuentes.43@correo.com,TARJETA_CREDITO|AHORRO|TARJETA_DEBITO|CORRIENTE,2026-02-25T10:34:58Z
C000044,Natalia Lucia Reyes Morales,DPI-8016904528534,1962-02-09,2022-08-15,PERSONAL,2836.93,false,GT,33.80,+50248665879,natalia.lucia.reyes.morales.44@correo.com,SEGURO|TARJETA_DEBITO,2026-03-23T00:54:17Z
C000045,Fernanda Jorge Garcia Hernandez,DPI-3659310056371,1969-10-14,2023-09-02,CORPORATIVO,27395.03,false,GT,52.35,+50227522825,fernanda.jorge.garcia.hernandez.45@correo.com,AHORRO|PRESTAMO|TARJETA_DEBITO|TARJETA_CREDITO,2026-02-14T16:58:50Z
C000046,Karla Esteban Martinez Castillo,DPI-2777207064940,1989-11-19,2021-05-05,PERSONAL,3424.12,false,GT,29.21,+50241907732,karla.esteban.martinez.castillo.46@correo.com,PRESTAMO|SEGURO|AHORRO|CORRIENTE,2026-02-27T05:27:36Z
C000047,Esteban Jorge Cruz Ramirez,DPI-3317098877260,1994-11-21,2026-04-11,PERSONAL,2697.97,false,GT,20.30,+50251026604|+50251385586,esteban.jorge.cruz.ramirez.47@correo.com,CORRIENTE|SEGURO,2026-02-12T11:48:23Z
C000048,Luis Jose Perez Cruz,DPI-2618929588737,1965-11-03,2025-11-22,PREMIUM,3113.91,false,GT,50.15,+50229001525,luis.jose.perez.cruz.48@correo.com,TARJETA_DEBITO|PRESTAMO|SEGURO|INVERSION,2026-04-07T15:06:54Z
C000049,Daniela Sofia Garcia Cruz,DPI-5176929117411,2004-07-06,2023-02-16,PYME,11728.03,false,GT,44.05,+50256271193,daniela.sofia.garcia.cruz.49@correo.com,TARJETA_DEBITO|PRESTAMO|INVERSION,2026-03-01T18:47:44Z
C000050,Daniela Fernanda Pineda Castillo,DPI-4813365235336,1976-01-23,2021-03-22,PREMIUM,3029.43,false,GT,24.91,+50257927347,daniela.fernanda.pineda.castillo.50@correo.com,TARJETA_DEBITO|AHORRO|SEGURO,2026-02-19T23:00:48Z
C000051,Karla Fernanda Reyes Diaz,DPI-9447173607894,1989-04-10,2023-05-31,PERSONAL,1398.25,false,GT,33.36,+50250645029|+50223750520,karla.fernanda.reyes.diaz.51@correo.com,CORRIENTE|TARJETA_CREDITO,2026-03-07T13:12:41Z
C000052,Jose Miguel Gonzalez Mendez,DPI-3269900428548,1985-10-07,2024-10-22,PERSONAL,2306.63,false,HN,37.72,+50256442747,jose.miguel.gonzalez.mendez.52@correo.com,INVERSION|SEGURO|TARJETA_DEBITO,2026-01-27T19:20:15Z
C000053,Valeria Monica Cifuentes Vasquez,DPI-4667857690910,1972-02-16,2019-07-13,PERSONAL,565.83,false,GT,37.13,+50260181328,valeria.monica.cifuentes.vasquez.53@correo.com,CORRIENTE|TARJETA_DEBITO|TARJETA_CREDITO|INVERSION,2026-03-03T12:52:15Z
C000054,Valeria Diego Lopez Hernandez,DPI-8294351172458,1959-03-23,2023-05-14,PERSONAL,1402.22,false,GT,29.47,+50224307001|+50227539626,valeria.diego.lopez.hernandez.54@correo.com,TARJETA_CREDITO,2026-03-17T15:36:50Z
C000055,Luis Patricia Ruiz Martinez,DPI-4677013439604,1990-05-10,2021-06-13,PREMIUM,10111.05,true,GT,77.96,+50240505809,luis.patricia.ruiz.martinez.55@correo.com,PRESTAMO|CORRIENTE|AHORRO,2026-03-31T20:04:16Z
C000056,Juan Rafael Perez Diaz,DPI-3020997876568,1992-03-22,2022-03-18,PERSONAL,1148.15,false,PA,25.12,+50254180323|+50248822993,juan.rafael.perez.diaz.56@correo.com,AHORRO,2026-02-24T06:53:51Z
C000057,Karla Pablo Cruz Vasquez,DPI-5255197343834,1962-07-29,2019-06-15,PYME,11229.99,false,GT,43.63,+50270809516,karla.pablo.cruz.vasquez.57@correo.com,TARJETA_CREDITO,2026-01-28T23:37:18Z
C000058,Valeria Valeria Cruz Cruz,DPI-3155753878059,1988-10-12,2025-08-28,PERSONAL,3087.31,false,GT,21.03,+50229161532,valeria.valeria.cruz.cruz.58@correo.com,PRESTAMO,2026-01-15T12:11:01Z
C000059,Natalia Karla Castillo Diaz,DPI-8735630349563,1985-09-23,2025-07-11,PERSONAL,2897.83,false,GT,40.65,+50275745979,natalia.karla.castillo.diaz.59@correo.com,CORRIENTE|TARJETA_CREDITO,2026-01-29T17:25:05Z
C000060,Alberto Gabriela Rojas Mendez,DPI-2884527541021,1985-04-11,2023-06-09,PERSONAL,799.28,false,GT,24.68,+50248107161|+50262676786,alberto.gabriela.rojas.mendez.60@correo.com,SEGURO|INVERSION|TARJETA_CREDITO|CORRIENTE,2026-03-31T03:55:33Z
C000061,Paola Esteban Reyes Rojas,DPI-9411880313504,2002-04-17,2025-05-06,PREMIUM,9163.14,false,GT,25.29,+50236896092|+50258776580,paola.esteban.reyes.rojas.61@correo.com,TARJETA_DEBITO|AHORRO|PRESTAMO,2026-04-10T21:27:53Z
C000062,Karla Gabriela Garcia Martinez,DPI-1040210094557,1995-10-31,2021-07-10,PERSONAL,1591.19,false,GT,19.33,+50234156538,karla.gabriela.garcia.martinez.62@correo.com,INVERSION|PRESTAMO,2026-03-02T19:25:51Z
C000063,Diego Gabriela Flores Cifuentes,DPI-9261540237717,1978-02-21,2021-11-23,PERSONAL,1144.86,false,GT,28.66,+50248805529,diego.gabriela.flores.cifuentes.63@correo.com,INVERSION,2026-01-27T12:44:24Z
C000064,Oscar Andres Garcia Gonzalez,DPI-8530723349150,1956-09-30,2021-05-09,PERSONAL,1369.05,false,GT,43.94,+50250318029,oscar.andres.garcia.gonzalez.64@correo.com,SEGURO|CORRIENTE|TARJETA_CREDITO|PRESTAMO,2026-01-05T07:31:07Z
C000065,Daniela Natalia Pineda Rojas,DPI-1984787699570,1960-11-05,2026-02-28,PERSONAL,2863.25,false,GT,21.03,+50262256415|+50237674634,daniela.natalia.pineda.rojas.65@correo.com,TARJETA_CREDITO|PRESTAMO|TARJETA_DEBITO,2026-02-08T13:25:09Z
C000066,Esteban Oscar Cifuentes Garcia,DPI-2472274220013,1986-08-03,2025-11-08,PERSONAL,2044.00,false,SV,33.70,+50239427500,esteban.oscar.cifuentes.garcia.66@correo.com,AHORRO,2026-02-09T12:18:39Z
C000067,Mario Jose Cifuentes Cruz,DPI-6979960234887,1966-11-13,2023-12-08,PERSONAL,2439.57,false,GT,27.48,+50265064182,mario.jose.cifuentes.cruz.67@correo.com,AHORRO|PRESTAMO|TARJETA_CREDITO|TARJETA_DEBITO,2026-03-23T22:04:51Z
C000068,Juan Miguel Martinez Castillo,DPI-6378859101488,1968-03-30,2018-08-28,PREMIUM,4733.83,false,GT,43.15,+50250908656,juan.miguel.martinez.castillo.68@correo.com,INVERSION|TARJETA_CREDITO|TARJETA_DEBITO|SEGURO,2026-04-17T23:21:09Z
C000069,Monica Sofia Diaz Ruiz,DPI-8486308963462,1999-11-09,2020-09-17,PERSONAL,995.58,false,GT,33.89,+50276370978,monica.sofia.diaz.ruiz.69@correo.com,SEGURO|TARJETA_DEBITO|INVERSION|PRESTAMO,2026-01-20T12:07:37Z
C000070,Jose Camila Martinez Cifuentes,DPI-6553101679422,1986-05-27,2022-11-04,PERSONAL,774.52,false,US,32.82,+50247488837,jose.camila.martinez.cifuentes.70@correo.com,AHORRO,2026-01-19T23:16:17Z
C000071,Juan Paola Vasquez Reyes,DPI-9823069657546,1992-03-22,2018-05-28,PERSONAL,1563.94,false,GT,22.42,+50255738459,juan.paola.vasquez.reyes.71@correo.com,PRESTAMO|CORRIENTE|INVERSION|TARJETA_DEBITO,2026-03-22T01:22:15Z
C000072,Valeria Valeria Reyes Flores,DPI-8024029866076,1998-05-22,2022-11-05,CORPORATIVO,21916.96,false,GT,44.49,+50259307851,valeria.valeria.reyes.flores.72@correo.com,TARJETA_DEBITO|PRESTAMO|AHORRO|INVERSION,2026-02-02T04:54:13Z
C000073,Juan Oscar Ruiz Garcia,DPI-3732573806725,1985-05-02,2021-07-31,PERSONAL,3488.64,false,SV,50.27,+50261577848,juan.oscar.ruiz.garcia.73@correo.com,PRESTAMO|SEGURO|TARJETA_CREDITO|AHORRO,2026-03-05T01:58:56Z
C000074,Maria Miguel Vasquez Pineda,DPI-7841811940220,1969-03-13,2023-12-15,PREMIUM,6744.00,false,GT,54.75,+50240184665,maria.miguel.vasquez.pineda.74@correo.com,TARJETA_CREDITO|INVERSION|SEGURO,2026-01-11T07:33:16Z
C000075,Diego Silvia Castillo Reyes,DPI-3038708882688,1962-03-24,2023-06-05,PERSONAL,717.28,false,GT,23.05,+50277197962,diego.silvia.castillo.reyes.75@correo.com,CORRIENTE|PRESTAMO|TARJETA_CREDITO,2026-03-31T02:27:54Z
C000076,Sofia Sofia Diaz Rojas,DPI-3947577803033,1983-10-16,2020-08-29,PREMIUM,10248.75,false,GT,44.49,+50231068211,sofia.sofia.diaz.rojas.76@correo.com,PRESTAMO|SEGURO|CORRIENTE,2026-04-14T09:12:42Z
C000077,Luis Maria Mendez Pineda,DPI-8754462804585,2002-06-03,2021-11-04,PERSONAL,1752.64,false,GT,32.01,+50240386061|+50226426059,luis.maria.mendez.pineda.77@correo.com,SEGURO,2026-03-14T12:54:35Z
C000078,Ricardo Lucia Ruiz Flores,DPI-7781850756241,1984-09-01,2021-03-31,PYME,13441.87,false,GT,30.96,+50235033525|+50244432076,ricardo.lucia.ruiz.flores.78@correo.com,AHORRO|CORRIENTE|TARJETA_DEBITO|SEGURO,2026-01-18T03:39:29Z
C000079,Jose Monica Gonzalez Gonzalez,DPI-3669303076311,1956-11-11,2026-01-04,PERSONAL,2678.37,false,GT,18.52,+50274894954,jose.monica.gonzalez.gonzalez.79@correo.com,AHORRO|TARJETA_DEBITO|CORRIENTE|TARJETA_CREDITO,2026-02-16T01:59:19Z
C000080,Natalia Valeria Pineda Reyes,DPI-9052788419226,1987-04-01,2021-01-17,PERSONAL,3464.84,false,GT,36.03,+50237218979,natalia.valeria.pineda.reyes.80@correo.com,PRESTAMO|INVERSION|SEGURO,2026-03-06T01:01:17Z
C000081,Maria Alberto Ruiz Castillo,DPI-6410892787007,1956-12-28,2020-04-28,PREMIUM,6933.99,false,GT,34.75,+50272165655,maria.alberto.ruiz.castillo.81@correo.com,CORRIENTE|TARJETA_DEBITO,2026-03-14T04:18:57Z
C000082,Patricia Esteban Vasquez Cruz,DPI-4163757627791,1985-02-21,2021-09-19,PERSONAL,3112.13,false,GT,22.45,+50249321459,patricia.esteban.vasquez.cruz.82@correo.com,PRESTAMO|SEGURO|AHORRO,2026-01-22T01:20:04Z
C000083,Lucia Esteban Cifuentes Morales,DPI-4348788366298,1980-11-22,2025-04-10,PERSONAL,1177.77,false,GT,28.74,+50255756140,lucia.esteban.cifuentes.morales.83@correo.com,AHORRO|SEGURO|TARJETA_DEBITO,2026-03-21T09:16:43Z
C000084,Camila Esteban Cifuentes Martinez,DPI-1416894018575,1999-06-26,2018-02-18,PERSONAL,1475.33,false,GT,27.60,+50248437195,camila.esteban.cifuentes.martinez.84@correo.com,TARJETA_DEBITO|CORRIENTE|TARJETA_CREDITO|INVERSION,2026-01-22T12:40:59Z
C000085,Daniela Paola Flores Cifuentes,DPI-3080682688833,1958-09-28,2025-08-09,PYME,10687.01,false,GT,39.95,+50260004869,daniela.paola.flores.cifuentes.85@correo.com,SEGURO,2026-04-15T13:53:31Z
C000086,Gabriela Monica Vasquez Garcia,DPI-4292518733406,1956-12-13,2022-01-19,PERSONAL,2160.83,false,GT,42.44,+50257865176,gabriela.monica.vasquez.garcia.86@correo.com,INVERSION,2026-04-09T12:30:14Z
C000087,Jorge Silvia Cifuentes Diaz,DPI-1324793296567,1985-08-22,2021-02-09,PERSONAL,3044.54,false,MX,49.92,+50224198040|+50255056773,jorge.silvia.cifuentes.diaz.87@correo.com,PRESTAMO|AHORRO|CORRIENTE|SEGURO,2026-03-02T03:16:11Z
C000088,Andres Gabriela Cruz Castillo,DPI-7212620865269,1964-02-21,2024-06-10,PERSONAL,3222.40,false,GT,41.18,+50260878218|+50236127796,andres.gabriela.cruz.castillo.88@correo.com,SEGURO|TARJETA_CREDITO,2026-03-14T21:01:59Z
C000089,Natalia Luis Flores Reyes,DPI-9625844835676,1993-05-12,2025-04-11,PREMIUM,9242.33,false,GT,47.15,+50252028420,natalia.luis.flores.reyes.89@correo.com,PRESTAMO|INVERSION|TARJETA_CREDITO,2026-04-21T08:45:29Z
C000090,Alberto Patricia Cruz Lopez,DPI-1529842720859,1982-09-30,2021-09-02,PERSONAL,3473.85,false,GT,33.93,+50237421065,alberto.patricia.cruz.lopez.90@correo.com,CORRIENTE|TARJETA_CREDITO|TARJETA_DEBITO|AHORRO,2026-04-10T03:01:19Z
C000091,Fernanda Paola Ruiz Diaz,DPI-2818792903841,1957-12-18,2019-02-10,PYME,4436.80,false,GT,27.84,+50247686032|+50271626073,fernanda.paola.ruiz.diaz.91@correo.com,SEGURO|AHORRO,2026-03-23T07:24:53Z
C000092,Rafael Carlos Vasquez Gonzalez,DPI-9810940362581,1983-11-25,2019-09-13,PREMIUM,11492.37,false,GT,31.53,+50272751781|+50256620286,rafael.carlos.vasquez.gonzalez.92@correo.com,SEGURO|TARJETA_CREDITO|INVERSION,2026-03-31T21:04:22Z
C000093,Natalia Paola Mendez Flores,DPI-3403476714500,1973-03-18,2024-03-07,PERSONAL,2131.76,false,GT,27.20,+50220051702,natalia.paola.mendez.flores.93@correo.com,TARJETA_DEBITO,2026-02-26T05:25:34Z
C000094,Fernanda Alberto Morales Cruz,DPI-1294571595160,1977-07-11,2025-03-20,PERSONAL,1041.37,false,GT,41.28,+50238886087,fernanda.alberto.morales.cruz.94@correo.com,TARJETA_CREDITO|AHORRO|TARJETA_DEBITO|SEGURO,2026-02-28T13:12:40Z
C000095,Lucia Lucia Castillo Ruiz,DPI-3764946112366,1978-04-08,2024-01-10,PREMIUM,7481.64,false,GT,47.46,+50233642167|+50270064186,lucia.lucia.castillo.ruiz.95@correo.com,TARJETA_DEBITO|PRESTAMO|AHORRO,2026-03-11T13:20:41Z
C000096,Oscar Fernanda Perez Garcia,DPI-9445409821250,2000-12-09,2021-10-14,PERSONAL,811.81,false,GT,42.33,+50255227033,oscar.fernanda.perez.garcia.96@correo.com,TARJETA_DEBITO,2026-02-17T18:39:27Z
C000097,Rafael Ricardo Cifuentes Mendez,DPI-4306009500660,1958-08-12,2021-01-10,PYME,14370.44,false,GT,42.17,+50261641644,rafael.ricardo.cifuentes.mendez.97@correo.com,TARJETA_DEBITO|AHORRO|TARJETA_CREDITO|PRESTAMO,2026-03-18T14:13:51Z
C000098,Miguel Paola Rojas Mendez,DPI-8309320970573,1975-05-05,2020-08-08,PERSONAL,3083.05,false,US,34.61,+50277634612,miguel.paola.rojas.mendez.98@correo.com,TARJETA_DEBITO|INVERSION,2026-01-24T04:27:35Z
C000099,Alberto Lucia Castillo Santos,DPI-8394761184130,1955-04-12,2018-10-17,PREMIUM,5512.98,false,GT,40.66,+50225031857|+50250103575,alberto.lucia.castillo.santos.99@correo.com,AHORRO,2026-04-13T13:07:59Z
C000100,Miguel Diego Ramirez Diaz,DPI-5925733930699,1974-04-07,2023-03-17,PERSONAL,3453.72,false,PA,41.17,+50220117590,miguel.diego.ramirez.diaz.100@correo.com,INVERSION,2026-01-20T08:07:10Z
C000101,Ricardo Jose Lopez Vasquez,DPI-4020624239288,1999-10-08,2021-11-20,PYME,15993.80,false,GT,18.15,+50222268119,ricardo.jose.lopez.vasquez.101@correo.com,CORRIENTE,2026-01-08T02:43:17Z
C000102,Silvia Maria Mendez Gonzalez,DPI-4480138289886,1993-12-14,2019-09-10,PREMIUM,6802.84,true,GT,61.82,+50264759541,silvia.maria.mendez.gonzalez.102@correo.com,INVERSION,2026-03-09T13:45:04Z
C000103,Fernanda Miguel Martinez Rojas,DPI-9035815367891,1979-03-04,2022-12-20,PYME,10646.90,false,GT,42.88,+50222766977,fernanda.miguel.martinez.rojas.103@correo.com,SEGURO|TARJETA_DEBITO|INVERSION,2026-03-10T06:36:31Z
C000104,Valeria Patricia Mendez Ramirez,DPI-1071459625809,1959-09-26,2026-02-14,PERSONAL,3422.64,false,US,42.55,+50266696643,valeria.patricia.mendez.ramirez.104@correo.com,SEGURO|TARJETA_DEBITO|AHORRO,2026-01-09T21:26:26Z
